Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Scenedesmus obliquus,Synthetic Medium,11.2,34,957.0,99.9,15.0,7.8,0.06,15.9,0.1536,20.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,14.4,115,1434.3,26.4,0.04,7.0,0.05,28.9,0.2791,23.31,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,13.4,667,1451.0,120.7,15.0,6.4,0.43,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,33.5,503,4923.0,136.2,0.04,10.5,0.06,8.3,0.0802,19.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,25.0,250,300.0,50.0,2.0,7.4,1.3,22.9,0.2212,22.1,PMC12844148 10.3390/w16162333,Real (measured)
Nannochloropsis sp.,f/2 Medium,27.3,763,1240.8,90.7,0.04,6.4,0.08,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,27.7,646,8.5,159.0,15.0,7.3,0.17,34.3,0.3313,24.39,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,17.9,1111,54.6,111.9,15.0,5.3,0.09,26.1,0.2521,22.75,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,8.8,432,886.4,12.3,1.0,6.4,0.05,47.3,0.4569,27.01,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,33.9,556,499.4,48.9,5.0,8.7,0.21,23.4,0.226,22.2,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,11.8,997,1265.2,152.1,0.04,9.1,0.05,17.5,0.169,21.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,34.5,1088,1731.6,148.4,2.0,5.8,0.38,19.8,0.1913,21.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,20.6,242,274.8,25.2,0.04,8.2,0.05,21.2,0.2048,21.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,31.3,240,1129.8,53.0,8.0,6.4,0.46,45.2,0.4366,26.59,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,31.5,120,3740.8,72.3,10.0,8.4,0.43,7.9,0.0763,19.09,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,21.3,358,4050.6,136.9,3.0,9.0,0.22,39.1,0.3777,25.36,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,13.6,166,1855.5,80.7,0.04,7.0,0.05,18.1,0.1748,21.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,31.7,30,559.7,141.2,0.04,9.5,0.05,20.9,0.2019,21.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,30.0,3000,300.0,55.0,9.0,7.0,0.55,15.8,0.1526,20.68,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Nannochloropsis sp.,f/2 Medium,18.1,413,489.3,151.9,10.0,9.0,0.05,23.1,0.2231,22.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,23.3,471,1202.7,181.2,1.0,7.1,0.38,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,13.4,317,6.8,95.8,0.04,5.9,0.05,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,25.5,387,259.1,140.5,5.0,10.1,0.05,27.0,0.2608,22.93,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,31.0,293,1500.4,29.1,2.0,4.6,0.05,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,17.1,58,991.7,26.5,15.0,8.6,0.05,21.1,0.2038,21.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,28.0,120,2500.0,150.0,0.04,8.8,2.1,6.5,0.0628,18.81,PMC10674991 Light study 2023,Real (measured)
Chlorella vulgaris,Bold's Basal,25.7,570,1047.7,153.3,0.04,7.1,0.19,16.4,0.1584,20.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,32.6,981,89.5,90.1,10.0,5.6,0.07,27.5,0.2656,23.03,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,24.0,200,144.0,25.0,0.04,7.8,0.85,22.6,0.2183,22.04,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Ankistrodesmus falcatus,BG-11,30.1,403,4961.3,151.4,15.0,8.2,0.44,44.1,0.426,26.36,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,25.0,100,300.0,45.0,5.0,7.1,1.2,14.2,0.1372,20.35,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Botryococcus braunii,Bold's Basal,20.0,3000,300.0,55.0,9.0,7.0,0.38,22.1,0.2135,21.94,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Nannochloris sp.,f/2 Medium,10.0,229,1161.2,136.4,2.0,7.8,0.05,19.6,0.1893,21.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,18.5,239,1938.2,164.4,10.0,5.9,0.05,41.9,0.4047,25.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,39.3,830,1701.3,69.4,3.0,7.3,1.06,19.7,0.1903,21.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,19.5,869,886.1,58.7,5.0,7.2,0.07,22.9,0.2212,22.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,16.4,175,379.1,96.9,3.0,8.3,0.13,18.6,0.1797,21.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,35.0,300,670.0,80.0,20.0,7.2,2.45,23.1,0.2231,22.14,Montoya-Vallejo 2023 10.3389/fbioe.2023.1149762,Real (measured)
Scenedesmus sp.,BG-11,22.2,274,126.0,75.0,8.0,5.7,0.12,19.3,0.1864,21.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,27.8,96,2593.9,21.8,0.04,10.5,0.05,8.3,0.0802,19.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,35.0,245,2500.0,150.0,10.0,9.3,0.59,21.4,0.2067,21.8,PMC10674991 Light study 2023,Real (measured)
Tetradesmus obliquus,BG-11,10.2,256,1312.7,63.1,2.0,9.1,0.05,18.1,0.1748,21.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,26.6,674,174.5,167.6,2.0,7.1,0.55,51.2,0.4945,27.79,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,14.5,909,1762.7,57.1,3.06,7.1,0.06,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,20.0,250,300.0,50.0,2.0,7.3,1.05,18.4,0.1777,21.2,PMC12844148 10.3390/w16162333,Real (measured)
Chlorella vulgaris,Wastewater,31.9,295,1063.9,122.0,10.0,6.7,0.99,18.9,0.1826,21.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,28.9,797,1189.3,61.3,2.0,8.2,0.31,19.4,0.1874,21.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,17.0,90,953.2,151.2,4.31,6.6,0.15,20.6,0.199,21.64,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,20.0,300,247.0,35.0,0.04,7.0,1.2,15.1,0.1459,20.54,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Nannochloropsis sp.,f/2 N-stress,26.9,571,1081.1,82.4,1.0,8.2,0.3,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,25.0,135,5000.0,30.0,0.04,8.0,0.72,39.0,0.3767,25.34,Tan 2023 ICP 10.1016/j.indcrop.2023.116458,Real (measured)
Spirulina platensis,Zarrouk's Medium,33.9,662,2136.8,180.4,8.0,10.3,0.88,8.1,0.0782,19.13,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11,23.6,328,872.6,65.8,3.0,4.5,0.05,22.6,0.2183,22.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,8.0,44,4954.4,156.9,0.04,5.6,0.05,40.3,0.3893,25.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,8.6,255,1912.6,57.2,10.0,6.9,0.13,21.5,0.2077,21.82,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,25.9,229,1713.9,152.2,15.0,6.8,1.01,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,26.5,656,1065.6,96.3,0.04,6.0,0.05,14.8,0.143,20.47,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,30.5,689,1518.1,196.7,5.0,7.1,1.24,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,35.4,475,555.0,36.6,10.0,8.8,0.57,24.1,0.2328,22.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,29.0,143,725.0,143.5,8.0,6.9,0.51,20.6,0.199,21.64,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,12.5,265,1446.7,16.9,0.04,9.7,0.05,29.1,0.2811,23.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,28.6,164,1015.1,139.5,2.0,8.6,0.1,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,25.4,309,1759.5,26.1,3.0,5.1,0.06,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,25.0,3000,300.0,55.0,9.0,7.0,0.55,24.5,0.2366,22.42,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Scenedesmus obliquus,Synthetic Medium,14.9,474,1559.6,50.6,10.0,5.1,0.05,13.8,0.1333,20.27,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,30.0,100,300.0,45.0,5.0,7.0,1.2,16.5,0.1594,20.82,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Tetraselmis subcordiformis,f/2 Medium,25.0,200,200.0,30.0,2.0,7.5,0.85,16.2,0.1565,20.76,Ji 2021 Molecules PMC7918059,Real (measured)
Phaeodactylum tricornutum,f/2 Medium,8.3,189,309.9,45.2,8.0,6.4,0.05,24.3,0.2347,22.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,BG-11,9.6,1631,252.1,41.2,3.0,5.0,0.05,29.1,0.2811,23.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,25.0,150,150.0,20.0,0.04,8.0,0.9,22.7,0.2193,22.06,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Chromochloris zofingiensis,BG-11 N-stress,21.9,729,476.4,60.7,15.0,4.7,0.07,47.2,0.4559,26.99,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 N-stress,25.0,200,25.0,30.0,2.0,7.5,0.52,28.4,0.2743,23.21,Ji 2021 Molecules PMC7918059,Real (measured)
Chaetoceros muelleri,f/2 Medium,25.8,287,4271.7,84.0,5.0,5.5,0.05,40.5,0.3912,25.64,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,26.1,1495,699.0,58.5,2.0,8.1,4.1,14.7,0.142,20.45,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,30.8,683,103.8,2.2,5.0,8.2,0.16,27.6,0.2666,23.05,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,22.1,397,1219.4,117.0,0.04,9.2,0.05,17.5,0.169,21.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,29.6,1037,1773.4,184.4,10.0,8.6,0.41,19.0,0.1835,21.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,35.6,456,3381.7,67.6,0.04,7.6,0.05,8.3,0.0802,19.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,32.9,920,635.8,157.9,0.04,6.8,0.23,19.7,0.1903,21.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,14.4,431,244.8,106.4,0.04,7.8,0.05,23.5,0.227,22.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,26.6,372,1520.5,47.7,13.59,8.8,0.41,15.5,0.1497,20.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,30.0,3000,300.0,55.0,9.0,7.0,1.05,15.3,0.1478,20.58,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Chlamydomonas reinhardtii,TAP,30.2,72,393.3,2.8,15.0,5.3,0.05,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,25.0,180,110.0,18.0,2.0,7.6,1.15,14.9,0.1439,20.49,PMC12844148 Wastewater 2024,Real (measured)
Chlorella vulgaris,BG-11,19.9,123,240.4,192.5,2.0,8.1,0.14,20.4,0.197,21.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,19.7,551,125.8,140.2,3.0,6.1,0.05,23.7,0.2289,22.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,35.0,200,200.0,25.0,15.0,7.5,2.27,28.4,0.2743,23.21,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Nannochloropsis oculata,f/2 Medium,25.8,240,1241.1,148.5,0.04,5.8,0.05,31.1,0.3004,23.75,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,26.8,864,1750.3,34.8,0.04,5.2,0.05,20.4,0.197,21.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,25.0,300,200.0,35.0,3.0,7.0,1.3,16.5,0.1594,20.82,Eze 2026 DIB 10.1016/j.dib.2026.111915,Real (measured)
Tetradesmus obliquus,BG-11,25.0,200,247.0,35.0,2.0,7.0,1.15,16.8,0.1623,20.88,OCL review 2021 10.1051/ocl/2021048,Real (measured)
Ankistrodesmus falcatus,BG-11,14.3,378,3785.8,187.4,2.0,7.4,0.55,41.6,0.4018,25.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,21.9,191,374.8,93.8,0.04,9.5,0.05,16.2,0.1565,20.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,31.1,482,185.4,119.3,0.04,8.6,0.05,19.3,0.1864,21.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,30.7,498,408.1,118.1,1.0,9.2,0.1,26.5,0.256,22.83,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,27.8,83,896.4,83.0,5.0,6.1,0.13,14.7,0.142,20.45,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,24.6,767,579.9,147.5,5.0,8.9,0.21,18.9,0.1826,21.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,36.6,618,2365.5,194.3,2.0,9.1,1.67,8.8,0.085,19.27,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,32.8,614,1422.2,143.3,3.0,5.7,0.13,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,14.5,261,1488.5,6.6,0.04,6.4,0.05,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11,20.9,331,400.4,179.4,0.04,8.9,0.05,24.6,0.2376,22.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,14.8,450,307.8,71.7,5.0,8.8,0.13,17.0,0.1642,20.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,25.0,120,41.0,37.0,0.04,7.0,0.75,52.3,0.5052,28.01,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Chromochloris zofingiensis,BG-11,13.8,728,1940.4,92.9,15.0,5.7,0.3,47.3,0.4569,27.01,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,27.2,22,317.5,23.7,1.47,8.5,0.05,10.9,0.1053,19.69,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,18.8,86,599.2,67.0,10.0,8.8,0.09,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,40.0,200,200.0,25.0,5.0,7.5,0.28,17.2,0.1661,20.96,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Chlorella vulgaris,Bold's Basal,22.4,458,1853.9,129.5,12.35,6.8,1.39,16.9,0.1632,20.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11,8.2,452,1409.0,72.4,1.0,5.3,0.05,23.5,0.227,22.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,30.0,250,300.0,50.0,2.0,7.5,1.1,20.1,0.1941,21.54,PMC12844148 10.3390/w16162333,Real (measured)
Tetraselmis sp.,f/2 Medium,21.8,851,498.3,51.4,3.0,9.3,0.11,19.6,0.1893,21.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,12.9,359,2943.4,2.5,3.0,6.1,0.05,40.8,0.3941,25.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,31.0,1100,110.0,14.0,0.04,8.1,1.72,19.3,0.1864,21.38,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Chlorella pyrenoidosa,Modified BG-11,16.1,1129,1776.5,155.9,1.0,7.0,0.17,17.5,0.169,21.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,28.6,867,327.8,160.3,0.04,8.8,0.05,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,19.2,72,1234.2,104.4,15.0,8.7,0.18,30.3,0.2927,23.59,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,22.8,72,312.8,137.2,11.18,9.4,0.05,19.6,0.1893,21.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,25.0,200,5000.0,30.0,0.04,8.0,0.85,35.2,0.34,24.58,Tan 2023 ICP 10.1016/j.indcrop.2023.116458,Real (measured)
Scenedesmus obliquus,ORP Wastewater,29.0,900,130.0,16.0,0.04,7.9,1.32,14.2,0.1372,20.35,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Nannochloropsis sp.,f/2 N-stress,23.2,49,182.8,146.9,4.85,8.0,0.05,26.4,0.255,22.81,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,9.2,416,1630.5,146.5,10.0,6.7,0.38,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,10.3,382,1254.6,175.5,5.0,4.9,0.05,44.7,0.4318,26.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,10.4,762,615.1,124.5,11.41,5.6,0.07,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,18.6,80,1804.6,45.9,2.0,9.8,0.05,22.9,0.2212,22.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,33.7,709,1471.6,60.6,15.0,8.3,0.48,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,37.0,863,255.7,3.2,2.0,9.2,0.06,25.4,0.2453,22.61,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,25.0,80,247.0,37.0,0.04,7.0,0.88,13.8,0.1333,20.27,MedCrave Kua 2017 medium screening,Real (measured)
Nannochloropsis sp.,Walne Medium,28.5,487,1403.6,11.4,15.0,7.9,0.74,21.6,0.2086,21.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,29.7,515,11.9,8.1,8.0,8.3,0.06,38.2,0.369,25.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,22.0,806,205.5,64.5,15.0,9.7,0.05,22.5,0.2173,22.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,22.3,383,558.1,68.0,10.0,9.5,0.24,28.6,0.2762,23.25,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,30.0,3000,300.0,55.0,9.0,7.0,0.7,21.0,0.2028,21.72,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Chlorella pyrenoidosa,BG-11,31.5,1055,1803.8,196.9,1.0,4.9,0.05,18.4,0.1777,21.2,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,18.1,1055,1796.7,199.0,2.0,5.4,0.05,26.1,0.2521,22.75,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,25.0,200,300.0,45.0,5.0,7.0,1.55,18.2,0.1758,21.16,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Chlorella sorokiniana,BG-11,17.1,730,1356.2,7.9,0.04,9.1,0.05,19.9,0.1922,21.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,18.7,566,950.5,197.4,1.44,7.1,0.71,15.1,0.1459,20.54,Physics-constrained model (calibrated to species optima from literature),Modelled
